ID,fluxo_AH,Fluxo iOD907
aacff,0.010191636,0.02659255153509299
aacfg,0.0,0.0
aacfh,0.0,0.0
aacfi,7.278375098363793,9.894524891671171
aacfj,0.0,0.0
aacga,0.0,0.0
aacgb,0.00432497,0.011284938709813749
aacgc,0.0,0.0
aacgd,0.0,0.0
aacge,0.0,0.0
aacgf,5.83983999999996e-06,1.5237617018180081e-05
aacgg,0.0,0.0
aacgh,0.0,0.0
aacgi,0.0,0.0
EX_00454_,0.0,0.0
aacgj,0.0,0.0
aacha,0.0,0.0
aachb,0.0,0.0
aachc,0.47549429024758627,0.7492364872698025
aachd,0.0,0.0
aache,0.0,-0.02797809591440341
aachf,0.0107226139999992,0.0
aachg,0.0,0.0
aachh,0.0,0.0
aachi,0.0,0.0
aachj,0.0,0.0
aacia,0.0,0.0
aacib,0.0,0.0
aacic,-0.03339718,-0.08714167482794516
aacid,0.0,0.0
EX_00467_,0.0,0.0
aacie,0.0,0.0
aacif,0.0,0.0
aacig,0.008342682,0.021768163720318603
aacih,0.0,-8.871458521964026e-08
aacii,0.0,0.0
aacij,0.0,0.0
EX_00473_,-3.399999983638713e-08,-8.871458488486038e-08
aacja,0.0,0.0
aacjb,0.0,0.0
EX_00476_,0.0,0.0
aacjc,0.00390864,0.010198628623719098
aacjd,0.0,0.0
aacje,0.0,0.0
aacjf,0.0,0.0
aacjg,0.5143671098189629,0.9181190309321307
aacjh,0.0,0.0
aacji,0.0,0.0
aacjj,0.0,0.0
aadaa,0.008342682,0.021768163720318603
aadab,0.005299376000000001,0.0
aadac,0.0,0.0
EX_00492_,0.0,0.0
aadad,0.0004488,0.001171032514205742
aadae,0.013013908000000001,0.033956571757758985
aadaf,0.0,0.0
aadag,0.0,0.0
aadah,0.003142484000000001,0.008199534178634832
aadai,0.0,0.0
EX_00499_,0.0,0.0
aadaj,0.0,0.013827409984406347
aadba,0.0,0.0
EX_00502_,0.0,0.0
aadbb,0.0,0.0
aadbc,0.011360556,0.02964255894709253
aadbd,0.0,0.0
EX_00504_,0.0,0.0
aadbe,0.0,0.0
EX_00506_,0.0,0.0
aadbf,0.0,0.0
aadbg,0.0,0.0
aadbh,0.0,0.0
EX_00509_,0.0,0.0
aadbi,0.0,0.0
aadbj,0.0,0.0
aadca,0.0,0.0
aadcb,0.0,0.0
aadcc,0.0,0.0
aadcd,0.0,0.0
EX_00517_,0.0,0.0
aadce,0.0004488,0.001171032514205742
aadcf,0.0026234400000000003,0.00684521733303902
aadcg,0.007424410000000001,0.019372160224586127
aadch,0.0,0.0
EX_00526_,0.0,0.0
aadci,0.0,0.0
aadcj,0.0,0.0
aadda,0.0,0.0
EX_00529_,0.0,0.0
aaddb,0.0,0.0
EX_00530_,0.0,0.0
aaddc,0.0,0.0
EX_00532_,0.0,0.0
aaddd,0.0,0.0
EX_00534_,0.0,0.0
aadde,0.0,0.0
aaddf,0.0,0.0
aaddg,0.0,0.0
aaddh,0.0036078419999991977,0.009413859410034841
aaddi,0.0,0.0
aaddj,-0.010191636,-0.02659255153509299
aadea,0.0036078419999991977,0.009413859410034841
aadeb,0.0016577719999999994,0.004325545706639664
aadec,0.0,0.0
aaded,0.0,0.0
aadee,-1.3831199999999903e-06,-3.608909293779493e-06
aadef,0.0,0.0
aadeg,0.0,0.0
EX_00551_,0.0,0.0
aadeh,0.0,0.0
aadei,0.0,0.0
aadej,0.0,0.0
aadfa,0.0,0.0
aadfb,0.0,0.0
aadfc,0.0,0.0
aadfd,0.0,0.0
aadfe,-3.4e-08,-8.871458440952591e-08
aadff,0.0,0.0
aadfg,0.0,0.0
aadfh,0.0,0.0
aadfi,0.0,0.0
aadfj,0.0,0.0
aadga,0.0,0.0
EX_00564_,0.0,0.0
aadgb,0.0,0.0
aadgc,0.0,0.0
aadgd,0.0,0.0
aadge,0.0,0.0
aadgf,0.0,0.0
aadgg,0.0,0.0
aadgh,3.3694e-05,8.791615314984017e-05
aadgi,0.0,0.0
aadgj,0.0,0.0
aadha,0.0,0.0
aadhb,0.0,0.0
aadhc,0.0,0.0
EX_00577_,0.0,0.0
aadhd,1.3831199999999903e-06,3.608909293779493e-06
aadhe,0.0,0.0
aadhf,0.0,0.0
aadhg,0.0,0.0
aadhh,0.0,0.0
aadhi,0.0,0.0
EX_00585_,0.0,0.0
aadhj,0.0,0.0
aadia,0.0,0.0
EX_00586_,0.0,0.0
aadib,0.0,0.0
aadic,0.0,0.0
aadid,0.0,0.0
aadie,0.0,0.0
EX_00591_,0.0,0.0
aadif,0.0,0.0
aadig,0.0,0.0
aadih,0.0,0.0
aadii,0.0,0.0
aadij,0.0,0.0
aadja,0.0,0.0
aadjb,0.0,0.0
aadjc,0.0,0.0
